id,fname,lname
1133,Kerem,Akturkoglu
1134,Hamdi,Akujobi
1135,Rami,Al Hajj
1136,,Al Musrati
1137,Ameen,Al-Dakhil
1138,Ali,Al-Hamadi
1139,David,Alaba
1140,Williams,Alarcon
1141,Jordi,Alba
1142,Luis,Alberto
1143,Raul,Albiol
1144,Marc,Albrighton
1145,Carlos,Alcaraz
1146,Ruben,Alcaraz
1147,Josimar,Alcocer
1148,Omar,Alderete
1149,Gerald,Alders
1150,Ryan,Alebious
1151,Ivan,Alejo
1152,Milan,Aleksic
1153,Pedro,Aleman
1154,,Alemao
1155,Dogan,Alemdar
1156,Carles,Alena
1157,Aji,Alese
1158,Trent,Alexander-Arnold
1159,,Alexsandro
1160,Rahim,Alhassane
1161,Aboubacar,Ali Abdallah
1162,Denis,Alibec
1163,Faride,Alidou
1164,Nabil,Alioui
1165,,Alisson
1166,Xeber,Alkain
1167,Scott,Allardice
1168,Jamie,Allen
1169,Joe,Allen
1170,Tadeo,Allende
1171,Jim,Allevinah
1172,Dele,Alli
1173,Millenic,Alli
1174,Pasquale,Allocca
1175,Ryan,Allsop
1176,Thiago,Almada
1177,Andre,Almeida
1178,Kayky,Almeida
1179,Miguel,Almiron
1180,Pontus,Almqvist
1181,Jak,Alnwick
1182,Junior,Alonso
1183,Marcos,Alonso
1184,Javier,Altamirano
1185,Giorgio,Altare
1186,Adria,Altimira
1187,Sergi,Altimira
1188,Sone,Aluko
1189,Esteban,Alvarado
1190,Agustin,Alvarez
1191,Carlos,Alvarez
1192,Edson,Alvarez
1193,Gaston,Alvarez
1194,Hugo,Alvarez
1195,Iker,Alvarez
1196,Julian,Alvarez
1197,Yeray,Alvarez
1198,Will,Alves
1199,Steven,Alzate
1200,Pedro,Amador
1201,Selim,Amallah
1202,Daniel,Amartey
1203,Harry,Amass
1204,Jordi,Amat
1205,Jordan,Amavi
1206,Peter,Ambrose
1207,Zeki,Amdouni
1208,Aurele,Amenda
1209,Wisdom,Amey
1210,Kelvin,Amian
1211,Jordan,Amissah
1212,Samuel,Amo-Ameyaw
1213,Luke,Amos
1214,Mathis,Amougou
1215,Ethan,Ampadu
1216,Nordin,Amrabat
1217,Sofyan,Amrabat
1218,Sadat,Anaku
1219,Joseph,Anang
1220,Joachim,Andersen
1221,Lucas,Andersen
1222,Mads Juel,Andersen
1223,Andre,Anderson
1224,Bruce,Anderson
1225,Elliot,Anderson
1226,Felipe,Anderson
1227,Joseph,Anderson
1228,Karoy,Anderson
1229,Keshi,Anderson
1230,Andres,Andrade
1231,,Andre
1232,Andre,Andre
1233,Benjamin,Andre
1234,Marcos,Andre
1235,Plamen,Andreev
1236,Chema,Andres
1237,,Andrew
1238,Kai,Andrews
1239,Ryan,Andrews
1240,Komnen,Andric
1241,,Angel
1242,,Angelino
1243,Lorenzo,Anghele
1244,Fabrizio,Angileri
1245,Samuele,Angori
1246,Andre Zambo,Anguissa
1247,Alvaro,Angulo
1248,Tino,Anjorin
1249,Lucas,Anjos
1250,David,Ankeye
1251,Ebenezer,Annan
1252,Aaron,Anselmino
1253,Jaidon,Anthony
1254,Oliver,Antman
1255,Leandro,Antonetti
1256,Kyllian,Antonio
1257,Michail,Antonio
1258,Joey,Antonioli
1259,,Antony
1260,Mate,Antunovic
1261,,Anuar
1262,Houssem,Aouar
1263,Adil,Aouchiche
1264,Arvin,Appiah
1265,Dennis,Appiah
1266,Oswin,Appollis
1267,Stredair,Appuah
1268,Pedro,Aquino
1269,Ylies,Aradj
1270,Mauro,Arambarri
1271,Jon,Aramburu
1272,Charles,Aranguiz
1273,Charles Mariano,Aranguiz
1274,Brian,Araujo
1275,Henrique,Araujo
1276,Julian,Araujo
1277,Maximiliano,Araujo
1278,Miguel,Araujo
1279,Ronald,Araujo
1280,Tomas,Araujo
1281,Alexander,Aravena
1282,Oliver,Arblaster
1283,Pablo,Arboine
1284,Matias,Arbol
1285,Telmo,Arcanjo
1286,Alex,Arce
1287,Cameron,Archer
1288,Jordan,Archer
1289,Jean Pierre,Archimbaud
1290,Carlens,Arcus
1291,Alphonse,Areola
1292,Adu,Ares
1293,Jesus,Areso
1294,Simone,Aresti
1295,Matias,Arezo
1296,Scott,Arfield
1297,Paul,Argney
1298,David,Arguelles
1299,Inigo,Arguibide
1300,Gabriel,Arias
1301,Jhon,Arias
1302,Santiago,Arias
1303,Joe,Aribo
1304,Gboly,Ariyibi
1305,Franco,Armani
1306,Yoel,Armougom
1307,Adam,Armstrong
1308,Danny,Armstrong
1309,Harrison,Armstrong
1310,Luke,Armstrong
1311,Sinclair,Armstrong
1312,Stuart,Armstrong
1313,Jose Manuel,Arnaiz
1314,Marko,Arnautovic
1315,Adrian,Arnu
1316,Tolu,Arokodare
1317,Henrique,Arreiol
1318,Bright,Arrey-Mbi
1319,Kervin,Arriaga
1320,Sergio,Arribas
1321,Andrei,Artean
1322,Harry,Arter
1323,,Arthur
1324,Santiago,Arzamendia
1325,Daniel,Arzani
1326,Takuma,Asano
1327,Benjamin,Asare
1328,Fredrick,Asare
1329,Carlos,Ascues
1330,Raul,Asencio
1331,Marco,Asensio
1332,Harrison,Ashby
1333,Cian,Ashford
1334,Majeed,Ashimeru
1335,Emam,Ashour
1336,Zac,Ashworth
1337,Kristjan,Asllani
1338,Joel,Asoro
1339,Iago,Aspas
1340,Yaser,Asprilla
1341,Lucas,Assadi
1342,Lorenz,Assignon
1343,Ryan,Astley
1344,Ander,Astralaga
1345,Youcef,Atal
1346,Valentin,Atangana Edoa
1347,Leonel,Ateba
1348,Ahmed,Atef
1349,Marwan,Ateya
1350,Zachary,Athekame
1351,Nathaniel,Atkinson
1352,Rob,Atkinson
1353,Arthur,Atta
1354,Yahia,Attiyat-Allah
1355,Bathusi,Aubaas
1356,Pierre-Emerick,Aubameyang
1357,Emil,Audero
1358,Jonas,Auer
1359,Tommaso,Augello
1360,Ludwig,Augustinsson
1361,Carlos,Augusto
1362,Douglas,Augusto
1363,Serge,Aurier
1364,Fredrik,Aursnes
1365,Brandon,Austin
1366,Gabriel,Avalos
1367,Chimy,Avila
1368,Gaston,Avila
1369,Arthur,Avom
1370,Mohamed,Awad
1371,Chidozie,Awaziem
1372,Taiwo,Awoyini
1373,Yasin,Ayari
1374,Bora,Aydinlik
1375,Florian,Aye
1376,Andre,Ayew
1377,Jordan,Ayew
1378,Loick,Ayina
1379,Luke,Ayling
1380,Jonah,Ayunga
1381,Finn,Azaz
1382,Femi,Azeez
1383,,Aziz
1384,Sardar,Azmoun
1385,Adam,Aznou
1386,Ivan,Azon
1387,Cesar,Azpilicueta
1388,Paulo,Azzi
1389,Abdoullah,Ba
1390,Ousmane,Ba
1391,Kwadwo,Baah
1392,Abdellah,Baallal
1393,Youri,Baas
1394,Iddrisu,Baba
1395,Isaac,Babadi
1396,Shavy,Babicka
1397,David,Babunski
1398,Jacopo,Bacci
1399,Keanu,Baccus
1400,Daniel,Bachmann
1401,Fin,Back
1402,Mio,Backhaus
1403,Juninho,Bacuna
1404,Loic,Bade
1405,Milan,Badelj
1406,Benoit,Badiashile
1407,Jun-Ho,Bae
1408,Alex,Baena
1409,Jaime,Baez
1410,Claudio,Baeza
1411,Joel,Bagan
1412,Nicola,Bagnolini
1413,Alexander,Bah
1414,Juma,Bah
1415,Michael,Baidoo
1416,Samson,Baidoo
1417,Leon,Bailey
1418,Eric,Bailly
1419,Scott,Bain
1420,Oliver,Bainbridge
1421,Theo,Bair
1422,Stefan,Bajcetic
1423,Stefan,Bajic
1424,Esmir,Bajraktarevic
1425,Adrian,Bajrami
1426,Nedim,Bajrami
1427,Kenan,Bajric
1428,Cedric,Bakambu
1429,Anastasios,Bakasetas
1430,Amadou,Bakayoko
1431,Johan,Bakayoko
1432,Tiemoue,Bakayoko
1433,Lewis,Baker
1434,Zak,Baker
1435,Mitchel,Bakker
1436,Darryl,Bakola
1437,Dilane,Bakwa
1438,James,Balagizi
1439,Max,Balard
1440,Fabian,Balbuena
1441,Ellery,Balcombe
1442,Tommaso,Baldanzi
1443,Alejandro,Balde
1444,Alex,Balde
1445,Aliou,Balde
1446,Ibrahima,Balde
1447,Keita,Balde
1448,Mama,Balde
1449,George,Baldock
1450,Andri Fannar,Baldursson
1451,Jack,Baldwin
1452,Carlos,Baleba
1453,Leonardo,Balerdi
1454,Michel-Ange,Balikwisha
1455,Radinio,Balker
1456,Jure,Balkovec
1457,Dominic,Ball
1458,Daniel,Ballard
1459,Ivan,Balliu
1460,Thierno,Ballo
1461,Fode,Ballo-Toure
1462,Kofi,Balmer
1463,Daniels,Balodis
1464,Botono,Balogh
1465,Folarin,Balogun
1466,Leon,Balogun
1467,Mario,Balotelli
1468,Abdoul Kader,Bamba
1469,Abdoulaye,Bamba
1470,Jonathan,Bamba
1471,Mohamed,Bamba
1472,Patrick,Bamford
1473,Nicusor,Bancu
1474,Lameck,Banda
1475,Mauro,Bandeira
1476,Sidi,Bane
1477,Jaydon,Banel
1478,Alex,Bangura
1479,Mattia,Bani
1480,Beni,Baningime
1481,Barry,Bannan
1482,Simon,Banza
1483,Leo,Baptistao
1484,Jamal,Baptiste
1485,Shandon,Baptiste
1486,Moussa,Baradji
1487,Antonin,Barak
1488,Federico,Barba
1489,Kosta,Barbarouses
1490,German,Barbas
1491,Ivan,Barbero
1492,Hugo,Barbet
1493,Tommaso,Barbieri
1494,Rafael,Barbosa
1495,Valentin,Barco
1496,Bradley,Barcola
1497,Melvin,Bard
1498,Daniel,Barden
1499,Keidi,Bare
1500,Adam,Bareiro
1501,Nicolo,Barella
1502,Gabriel,Bares
1503,Adrian Leon,Barisic
1504,Borna,Barisic
1505,Kike,Barja
1506,Vasilis,Barkas
1507,Tom,Barkhuizen
1508,Ross,Barkley
1509,Daniel,Barlaser
1510,Ashley,Barnes
1511,Harvey,Barnes
1512,Romario,Baro
1513,Leandro,Barreiro
1514,Enzo,Barrenechea
1515,Ander,Barrenetxea
1516,Jack,Barrett
1517,Pablo,Barrios
1518,Wilmar,Barrios
1519,Connor,Barron
1520,Louie,Barry
1521,Thierno,Barry
1522,Davide,Bartesaghi
1523,Kyle,Bartley
1524,Marc,Bartra
1525,Federico,Baschirotto
1526,Daniele,Baselli
1527,Steven,Baseya
1528,Chris,Basham
1529,Toma,Basic
1530,Norman,Bassette
1531,Calvin,Bassey
1532,Christian,Bassogog
1533,Alessandro,Bastoni
1534,Simone,Bastoni
1535,Augusto,Batalla
1536,Michy,Batshuayi
1537,Danny,Batth
1538,Dylan,Batubinsika
1539,Martin,Baturina
1540,Noah,Baudouin
1541,Patrick,Bauer
1542,Christoph,Baumgartner
1543,Rafel,Bauza
1544,Nathan,Baxter
1545,Brian,Bayeye
1546,Altay,Bayindir
1547,Mohamed,Bayo
1548,Vakoun Issouf,Bayo
1549,Riechedly,Bazoer
1550,Gavin,Bazunu
1551,Eddie,Beach
1552,James,Beadle
1553,,Bebe
1554,Rodrigo,Becao
1555,Mohamed,Bechikh
1556,Owen,Beck
1557,Sheraldo,Becker
1558,Chris,Bedia
1559,Jan,Bednarek
1560,Thomas,Beelen
1561,Asmir,Begovic
1562,Aziz,Behich
1563,Luken,Beitia
1564,Alexis,Beka Beka
1565,Ismael,Bekhoucha
1566,Jeremie,Bela
1567,Reda,Belahyane
1568,Youssef,Belammari
1569,Lucas,Belardinelli
1570,Vid,Belec
1571,Rafik,Belghali
1572,Kristijan,Belic
1573,Dion,Beljo
1574,Haris,Belkebla
1575,Yassin,Belkhdim
1576,Amari'i,Bell
1577,Joe,Bell
1578,Sam,Bell
1579,Armel,Bella-Kotchap
1580,Alaa,Bellaarouch
1581,Raoul,Bellanova
1582,Jean-Ricner,Bellegarde
1583,Hector,Bellerin
1584,Jobe,Bellingham
1585,Jude,Bellingham
1586,,Belloumi
1587,Jeanuel,Belocian
1588,Andrea,Belotti
1589,Fran,Beltran
1590,Lucas,Beltran
1591,Eliesse,Ben Seghir
1592,Wissam,Ben Yedder
1593,El Mehdi,Benabid
1594,Ayman,Benarous
1595,Marco,Benassi
1596,Dario,Benavides
1597,Carlos,Benavidez
1598,Steven,Benda
1599,Adrian,Benedyczak
1600,Justin,Bengui Joao
1601,Walter,Benitez
1602,Iker,Benito
1603,Ismael,Bennacer
1604,Joe,Bennett
1605,Jewison,Bennette
1606,Daniel,Bennie
1607,Said,Benrahma
1608,Manuel,Benson
1609,Nabil,Bentaleb
1610,Rodrigo,Bentancur
1611,Daniel,Bentley
1612,Mokrane,Bentoumi
1613,Aylan,Benyahia-Tani
1614,Karim,Benzema
1615,Lucas,Beraldo
1616,Alessandro,Berardi
1617,Domenico,Berardi
1618,Yuri,Berchiche
1619,Alex,Berenguer
1620,Bartosz,Bereszynski
1621,Patrick,Berg
1622,Sander,Berge
1623,Steven,Berghuis
1624,Lucas,Bergstrom
1625,Lucas,Bergvall
1626,Steven,Bergwijn
1627,Etrit,Berisha
1628,Medon,Berisha
1629,Adrian,Bernabe
1630,Alexandro,Bernabei
1631,Paulo,Bernado
1632,Facundo,Bernal
1633,Marc,Bernal
1634,Di'Shon,Bernard
1635,Federico,Bernardeschi
1636,Paul,Bernardoni
1637,Lorenzo,Bernasconi
1638,Juan,Bernat
1639,Maxime,Bernauer
1640,Antoine,Bernede
1641,Alexander,Bernhardsson
1642,Juan,Berrocal
1643,Luke,Berry
1644,Dimitry,Bertaud
1645,Bruno,Bertinato
1646,Nicolo,Bertola
1647,Ryan,Bertrand
1648,Benjamin,Besic
1649,Gijs,Besselink
1650,Kian,Best
1651,Jan-Niklas,Beste
1652,Vicente,Besuijen
1653,,Beto
1654,Davide,Bettela
1655,Marcus,Bettinelli
1656,Sam,Beukema
1657,Owen,Bevan
1658,Jordan,Beyer
1659,Bartosz,Bialkowski
1660,Come,Bianay Balcot
1661,Matteo,Bianchetti
1662,Florian,Bianchini
1663,Alessandro,Bianco
1664,Sofiane,Bidaoui
1665,Mads,Bidstrup
1666,Jake,Bidwell
1667,,Biel
1668,Krystian,Bielik
1669,Mika,Biereth
1670,Pedro,Bigas
1671,Justin,Bijlow
1672,Jaka,Bijol
1673,Kenan,Bilalovic
1674,Philip,Billing
1675,Tyler,Bindon
1676,Luis,Binks
1677,Cristiano,Biraghi
1678,Max,Bird
1679,Samuele,Birindelli
1680,Daniel,Birligea
1681,Colby,Bishop
1682,Nathan,Bishop
1683,Uran,Bislimi
1684,Yann Auriel,Bisseck
1685,Yves,Bissouma
1686,El Chadaille,Bitshiabu
1687,Emmanuel,Biumla
1688,Marco,Bizot
1689,Bjarki,Bjarkason
1690,Eythor,Bjorgolfsson
1691,Fredrik,Bjorkan
1692,Billy,Blacker
1693,Tyler,Blackett
1694,Corey,Blackett-Taylor
1695,Cesar,Blackman
1696,Harvey,Blair
1697,Adrian,Blake
1698,Antonio,Blanco
1699,Ruben,Blanco
1700,Shane,Blaney
1701,Ludovic,Blas
1702,Miha,Blazic
1703,Alexis,Blin
1704,Daley,Blind
1705,Lucas,Blondel
1706,Tom,Bloxham
1707,Myron,Boadu
1708,Augustine,Boakye
1709,Jerome,Boateng
1710,Malachi,Boateng
1711,Damian,Bobadilla
1712,Oscar,Bobb
1713,Eric-Junior,Bocat
1714,Arnaud,Bodart
1715,Matheo,Bodmer
1716,Pietro,Boer
1717,Jeremie,Boga
1718,Lamare,Bogarde
1719,Jayden,Bogle
1720,Emil,Bohinen
1721,Adama,Boiro
1722,Quentin,Boisgard
1723,Adama,Bojang
1724,Malcom,Bokele
1725,Morgan,Bokele
1726,Jeremy,Bokila
1727,Marc,Bola
1728,Marcos,Bolados
1729,Pierre,Bolchini
1730,Hugo,Bolin
1731,Bendeguz,Bolla
1732,Daniel,Boloca
1733,Willy,Boly
1734,Moise,Bombito
1735,Giacomo,Bonaventura
1736,Federico,Bonazzoli
1737,Jonathan,Bond
1738,Valeriy,Bondar
1739,Artem,Bondarenko
1740,Warren,Bondo
1741,Giovanni,Bonfanti
1742,Theo,Bongonda
1743,Jack,Bonham
1744,Somto,Boniface
1745,Kevin,Bonifazi
1746,Jude,Bonnar
1747,Ange-Yoan,Bonny
1748,Christopher,Bonsu Baah
1749,Nolan,Bonte
1750,Leonardo,Bonucci
1751,Kasper,Boogaard
1752,Taylor,Booth
1753,Thiago,Borbas
1754,Alexandru,Borbei
1755,Toni,Borevkovic
1756,Celso,Borges
1757,Daniel,Borges
1758,Goncalo,Borges
1759,Neto,Borges
1760,Raphael,Borges Rodrigues
1761,Yvandro,Borges Sanches
1762,Jan,Boril
1763,Cristian,Borja
1764,Miguel,Borja
1765,Sebastiaan,Bornauw
1766,Theo,Borne
1767,Rafael Santos,Borre
1768,Gennaro,Borrelli
1769,Brandon,Borrello
1770,Cameron,Borthwick-Jackson
1771,Maksymilian,Boruc
1772,Jordan,Bos
1773,Olivier,Boscagli
1774,Liam,Bossin
1775,Erik,Botheim
1776,Endre,Botka
1777,Sven,Botman
1778,Saimon,Bouabre
1779,Ayyoub,Bouaddi
1780,Badredine,Bouanani
1781,Benjamin,Bouchouari
1782,Hicham,Boudaoui
1783,Sofiane,Boufal
1784,Jiri,Boula
1785,Teddy,Boulhendi
1786,Ismail,Bouneb
1787,Rayane,Bounida
1788,Yassine,Bounou
1789,Justin,Bourgault
1790,Benjamin,Bourigeaud
1791,Othmane,Boussaid
1792,Bilal,Boutobba
1793,Edoardo,Bove
1794,Ibane,Bowat
1795,Jarrod,Bowen
1796,Kieron,Bowie
1797,Josh,Bowler
1798,Michael,Boxall
1799,Liam,Boyce
1800,Fletcher,Boyd
1801,Caolan,Boyd-Munce
1802,Lucas,Boye
1803,Harry,Boyes
1804,Martin,Boyle
1805,Enzo,Boyomo
1806,Rosen,Bozhinov
1807,Jakub,Brabec
1808,Domagoj,Bradaric
1809,Conor,Bradley
1810,Steven,Bradley
1811,Tom,Bradshaw
1812,Robbie,Brady
1813,Claudio,Braga
1814,Daniel,Braganca
1815,Cameron,Bragg
1816,Bilal,Brahimi
1817,Martin,Braithwaite
1818,Cohen,Bramall
1819,Alejandro,Bran
1820,Federico,Brancolini
1821,Jamie,Brandon
1822,Cameron,Brannagan
1823,Jarrad,Branthwaite
1824,Darko,Brasanac
1825,Riccardo,Braschi
1826,Lilian,Brassier
1827,Luke,Brattan
1828,Per Kristian,Bratveit
1829,Oliver,Braude
1830,Matthias,Braunoder
1831,Claudio,Bravo
1832,Iker,Bravo
1833,Sammy,Braybrooke
1834,Volodymyr,Brazhko
1835,Kian,Breckin
1836,James,Bree
1837,David,Brekalo
1838,Josip,Brekalo
1839,,Bremer
1840,Jefferson,Brenes
1841,Joshua,Brenet
1842,Ciaran,Brennan
1843,,Brenner
1844,Ben,Brereton Diaz
1845,Marco,Brescianini
1846,Michael,Bresser
1847,Abel,Bretones
1848,Jakob,Breum
1849,Rhian,Brewster
1850,Anthony,Briancon
1851,Kevin,Briceno
1852,Alexandre,Brito
1853,Callum,Brittain
1854,Nathan,Broadhead
1855,Brian,Brobbey
1856,Marius,Broholm
1857,Armando,Broja
1858,Andre,Brooks
1859,David,Brooks
1860,Nathan,Broome
1861,Eamonn,Brophy
1862,Arvid,Brorsson
1863,Aaron,Brown
1864,Ciaron,Brown
1865,Dajaune,Brown
1866,Jacob,Brown
1867,James,Brown
1868,Alan,Browne
1869,Josh,Brownhill
1870,Marcelo,Brozovic
1871,Roger,Brugue
1872,,Bruma
1873,Jeffrey,Bruma
1874,Max,Bruns
1875,Jacob,Bruun Larsen
1876,Joe,Bryan
1877,Charles-Andreas,Brym
1878,Sol,Brynn
1879,Gerard,Buabo
1880,Jonathan,Buatu
1881,Nathan,Buayi-Kiala
1882,Lee,Buchanan
1883,Tajon,Buchanan
1884,John,Buckley
1885,Ante,Budimir
1886,Emiliano,Buendia
1887,Hugo,Bueno
1888,Manu,Bueno
1889,Santiago,Bueno
1890,Louis,Buffon
1891,Endika,Bujan
1892,Osman,Bukari
1893,Adam,Buksa
1894,Marcin,Bulka
1895,Mustapha,Bundu
1896,Facundo,Buonanotte
1897,Alessandro,Buongiorno
1898,Andrei,Burca
1899,Wouter,Burger
1900,Cameron,Burgess
1901,Guido,Burgstaller
1902,Delano,Burgzorg
1903,Oliver,Burke
1904,Reece,Burke
1905,Dan,Burn
1906,Rares,Burnete
1907,Finley,Burns
1908,Wes,Burns
1909,Rumarn,Burrell
1910,Jack,Burroughs
1911,Harrison,Burrows
1912,Josef,Bursik
1913,Mason,Burstow
1914,Callum,Burton
1915,Georgiy,Bushchan
1916,Rocky,Bushiri
1917,Maxime,Busi
1918,Gianluca,Busio
1919,Sergio,Busquets
1920,Uri,Busquets
1921,Pablo,Busto
1922,Aurelio,Buta
1923,Calum,Butcher
1924,Ludovic,Butelle
1925,Ethan,Butera
1926,Jean,Butez
1927,Jack,Butland
1928,Nathan,Butler-Oyedeji
1929,Adrian,Butzke
1930,Zico,Buurmeester
1931,Jili,Buyabu
1932,Vitaliy,Buyalskyi
1933,Elvis,Bwomono
1934,Naim,Byar
1935,Sam,Byram
1936,Juan,Cabal
1937,Hernesto,Caballero
1938,Pau,Cabanes
1939,Ben,Cabango
1940,Remy,Cabella
1941,Catriel,Cabellos
1942,Jimmy,Cabot
1943,Arthur,Cabral
1944,Luciano,Cabral
1945,Kenji,Cabrera
1946,Leandro,Cabrera
1947,Liberato,Cacace
1948,Carlos,Caceda
1949,Anthony,Caceres
1950,Jefferson,Caceres
1951,Juan Jose,Caceres
1952,Martin,Caceres
1953,Sebastian,Caceres
1954,Bailey,Cadamarteri
1955,Chris,Cadden
1956,Nicky,Cadden
1957,Noah,Cadiou
1958,Mathieu,Cafaro
1959,,Cafu
1960,Killian,Cahill
1961,Moises,Caicedo
1962,Marc-Aurele,Caillard
1963,Tom,Cairney
1964,Alexandre,Cairns
1965,Jens,Cajuste
1966,Arturo,Calabresi
1967,Davide,Calabria
1968,Riccardo,Calafiori
1969,Horacio,Calcaterra
1970,Mattia,Caldara
1971,Luca,Caldirola
1972,,Calebe
1973,Fernando,Calero
1974,Duje,Caleta-Car
1975,Hakan,Calhanoglu
1976,Paolo,Calione
1977,Ross,Callachan
1978,Diego,Callai
1979,Jose Maria,Callejon
1980,Alexander,Callens
1981,Dominic,Calvert-Lewin
1982,Dani,Calvo
1983,Francisco,Calvo
1984,Rafael,Camacho
1985,Adama,Camara
1986,Drissa,Camara
1987,Issiaga,Camara
1988,Lamine,Camara
1989,Mahdi,Camara
1990,Mohamed,Camara
1991,Ousmane,Camara
1992,Ousoumane,Camara
1993,Panutche,Camara
1994,Francesco,Camarda
1995,Eduardo,Camavinga
1996,Nicolo,Cambiaghi
1997,Andrea,Cambiaso
1998,Axel,Camblan
1999,Sergio,Camello
2000,Innes,Cameron
2001,Kyle,Cameron
2002,Lyall,Cameron
2003,Jose,Campana
2004,Thomas,Campaniello
2005,Jaminton,Campaz
2006,Allan,Campbell
2007,Elijah,Campbell
2008,George,Campbell
2009,Joel,Campbell
2010,Josh,Campbell
2011,Tyreece,Campbell
2012,Tyrese,Campbell
2013,Pablo,Campos
2014,Alvaro,Campuzano
2015,Peio,Canales
2016,Sergio,Canales
2017,Matteo,Cancellieri
2018,Joao,Cancelo
2019,Fali,Cande
2020,Antonio,Candela
2021,Antonio,Candreva
2022,Simone,Canestrelli
2023,Reggie,Cannon
2024,Tom,Cannon
2025,Agustin,Canobbio
2026,Sergi,Canos
2027,Todd,Cantwell
2028,Jaydee,Canvot
2029,Gino,Caoki
2030,Ander,Capa
2031,Pierrick,Capelle
2032,Etienne,Capoue
2033,Gianluca,Caprari
2034,Maat Daniel,Caprari
2035,Elia,Caprile
2036,Gabin,Capuano
2037,Francesco,Caputo
2038,Maxence,Caqueret
2039,Simon,Cara
2040,Antonio,Caracciolo
2041,Felipe,Carballo
2042,Johan,Carbonero
2043,Andrea,Carboni
2044,Franco,Carboni
2045,Valentin,Carboni
2046,Dani,Cardenas
2047,Irvin,Cardona
2048,Marc,Cardona
2049,Sergi,Cardona
2050,Fabio,Cardoso
2051,Johnny,Cardoso
2052,Oscar,Cardozo
2053,Graham,Carey
2054,Sonny,Carey
2055,Patrik,Carlgren
2056,,Carlinhos
2057,Diego,Carlos
2058,Juan,Carlos
2059,Kevin,Carlos
2060,David,Carmo
